,direccion_casa,tamaño_casa,habitaciones_casa,Precio_Casa
410,"San Joaquín, Medellín, Antioquia",128 m² cubiertos,5,420000000.0
411,"Las Palmas, Medellín, Antioquia",900 m² cubiertos,6,7000000000.0
412,"Carrera 75da #2b Sur, Medellín, Antioquia, Colombia, Belén La Mota, Medellín, Antioquia",74 m² cubiertos,4,381000000.0
413,"Poblado Alto De Las Palmas, Medellín, Antioquia",432 m² cubiertos,3,3500000000.0
414,"Robledo, Medellín, Antioquia",110 m² cubiertos,4,380000000.0
415,"El Poblado, Medellín, Antioquia",970 m² cubiertos,7,7200000000.0
416,"Buenos Aires, Medellín, Antioquia, Colombia, Buenos Aires, Medellín, Antioquia",64 m² cubiertos,3,230000000.0
417,"El Poblado, Medellín, Antioquia",700 m² cubiertos,4,6500000000.0
418,"Medellín, Antioquia, Colombia, Boston, Medellín, Antioquia",231 m² cubiertos,5,445000000.0
419,"Colombia / Antioquia / La Estrella / La Ferreria, Medellín, Antioquia",77 m² cubiertos,3,230000000.0
420,"El Poblado, Medellín, Antioquia",136 m² cubiertos,3,820000000.0
421,"Cra. 67 #32b36, Medellín, Belén, Medellín, Antioquia, Colombia, Belén, Medellín, Antioquia",179 m² cubiertos,5,650000000.0
422,"Calle 9a Sur #11, Medellín, Antioquia, Colombia, El Tesoro, Medellín, Antioquia",528 m² cubiertos,4,3800000000.0
423,"El Poblado, Medellín, Antioquia",521 m² cubiertos,4,2500000000.0
424,"Las Cometas, Aures I, Medellín, Antioquia, Colombia, Robledo, Medellín, Antioquia",89 m² cubiertos,3,298000000.0
425,"El Poblado, Medellín, Antioquia",390 m² cubiertos,5,1750000000.0
426,"Cl. 42 Sur #65a-70, San Antonio De Prado, Medellín, Antioquia, Colombia, San Antonio De Prado, Medellín, Antioquia",76 m² cubiertos,3,295000000.0
427,"Buenos Aires, Medellín, Antioquia, Colombia, Buenos Aires, Medellín, Antioquia",103 m² cubiertos,3,310000000.0
428,"Boston, Medellín, Antioquia",269 m² cubiertos,5,820000000.0
429,"San Lucas, Medellín, Antioquia",139 m² cubiertos,3,790000000.0
430,"Calasanz, Medellín, Antioquia",120 m² cubiertos,3,590000000.0
431,"El Poblado/ Suroriente, Medellín, Antioquia",250 m² cubiertos,3,899900000.0
432,"San Cristóbal, Medellín, Antioquia",200 m² cubiertos,3,790000000.0
433,"Belén, Medellín, Antioquia",151 m² cubiertos,3,480000000.0
434,"Las Palmas, Medellín, Antioquia",900 m² cubiertos,4,3500000000.0
435,"El Poblado, Medellín, Antioquia",326 m² cubiertos,4,1300000000.0
436,"Las Playas, Medellín, Antioquia",220 m² cubiertos,5,670000000.0
437,"El Poblado, Medellín, Antioquia",360 m² cubiertos,5,1600000000.0
438,"Las Palmas, Medellín, Antioquia",540 m² cubiertos,3,4300000000.0
439,"San Lucas, Medellín, Antioquia",420 m² cubiertos,4,1100000000.0
440,"El Poblado, Medellín, Antioquia",600 m² cubiertos,6,3700000000.0
441,"Belén Miravalle, Medellín, Antioquia",160 m² cubiertos,4,700000000.0
442,"Belén La Mota, Medellín, Antioquia",140 m² cubiertos,4,715000000.0
443,"Poblado San Lucas, Medellín, Antioquia",231 m² cubiertos,4,1350000000.0
444,"Belén La Palma, Medellín, Antioquia",183 m² cubiertos,4,650000000.0
445,"Calazans, Medellín, Antioquia",195 m² cubiertos,4,980000000.0
446,"Castropol, Medellín, Antioquia",203 m² cubiertos,3,850000000.0
447,"Robledo, Medellín, Antioquia",131 m² cubiertos,4,500000000.0
448,"El Poblado, Medellín, Antioquia",554 m² cubiertos,5,4450000000.0
449,"Las Palmas, Medellín, Antioquia","3,000 m² cubiertos",3,4000000000.0
450,"Belén Malibú, Medellín, Antioquia",280 m² cubiertos,3,830000000.0
451,"Castropol, El Poblado, Medellín, Antioquia",188 m² cubiertos,4,940000000.0
452,"Toscana, Medellín, Antioquia",216 m² cubiertos,5,495000000.0
453,"Laureles, Medellín, Antioquia",220 m² cubiertos,7,1500000000.0
454,"Belén Las Violetas, Medellín, Antioquia",90 m² cubiertos,3,192000000.0
455,"San Cristóbal, Medellín, Antioquia",173 m² cubiertos,3,800000000.0
456,"79q5+r6, Medellín, San Cristóbal, Medellin, Antioquia, Colombia, San Cristóbal, Medellín, Antioquia",130 m² cubiertos,4,360000000.0
457,"Manrique, Medellín, Antioquia, Colombia, Manrique Oriental, Medellín, Antioquia",47 m² cubiertos,2,85000000.0
458,"San Joaquín, Medellín, Antioquia",128 m² cubiertos,5,420000000.0
459,"Las Palmas, Medellín, Antioquia",900 m² cubiertos,6,7000000000.0
460,"Carrera 75da #2b Sur, Medellín, Antioquia, Colombia, Belén La Mota, Medellín, Antioquia",74 m² cubiertos,4,381000000.0
461,"Poblado Alto De Las Palmas, Medellín, Antioquia",432 m² cubiertos,3,3500000000.0
462,"Robledo, Medellín, Antioquia",110 m² cubiertos,4,380000000.0
463,"El Poblado, Medellín, Antioquia",970 m² cubiertos,7,7200000000.0
464,"Buenos Aires, Medellín, Antioquia, Colombia, Buenos Aires, Medellín, Antioquia",64 m² cubiertos,3,230000000.0
465,"El Poblado, Medellín, Antioquia",700 m² cubiertos,4,6500000000.0
466,"Medellín, Antioquia, Colombia, Boston, Medellín, Antioquia",231 m² cubiertos,5,445000000.0
467,"Colombia / Antioquia / La Estrella / La Ferreria, Medellín, Antioquia",77 m² cubiertos,3,230000000.0
468,"El Poblado, Medellín, Antioquia",136 m² cubiertos,3,820000000.0
469,"Cra. 67 #32b36, Medellín, Belén, Medellín, Antioquia, Colombia, Belén, Medellín, Antioquia",179 m² cubiertos,5,650000000.0
470,"Calle 9a Sur #11, Medellín, Antioquia, Colombia, El Tesoro, Medellín, Antioquia",528 m² cubiertos,4,3800000000.0
471,"El Poblado, Medellín, Antioquia",521 m² cubiertos,4,2500000000.0
472,"Las Cometas, Aures I, Medellín, Antioquia, Colombia, Robledo, Medellín, Antioquia",89 m² cubiertos,3,298000000.0
473,"El Poblado, Medellín, Antioquia",390 m² cubiertos,5,1750000000.0
474,"Cl. 42 Sur #65a-70, San Antonio De Prado, Medellín, Antioquia, Colombia, San Antonio De Prado, Medellín, Antioquia",76 m² cubiertos,3,295000000.0
475,"Buenos Aires, Medellín, Antioquia, Colombia, Buenos Aires, Medellín, Antioquia",103 m² cubiertos,3,310000000.0
476,"Boston, Medellín, Antioquia",269 m² cubiertos,5,820000000.0
477,"San Lucas, Medellín, Antioquia",139 m² cubiertos,3,790000000.0
478,"Calasanz, Medellín, Antioquia",120 m² cubiertos,3,590000000.0
479,"El Poblado/ Suroriente, Medellín, Antioquia",250 m² cubiertos,3,899900000.0
480,"San Cristóbal, Medellín, Antioquia",200 m² cubiertos,3,790000000.0
481,"Belén, Medellín, Antioquia",151 m² cubiertos,3,480000000.0
482,"Las Palmas, Medellín, Antioquia",900 m² cubiertos,4,3500000000.0
483,"El Poblado, Medellín, Antioquia",326 m² cubiertos,4,1300000000.0
484,"Las Playas, Medellín, Antioquia",220 m² cubiertos,5,670000000.0
485,"El Poblado, Medellín, Antioquia",360 m² cubiertos,5,1600000000.0
486,"Las Palmas, Medellín, Antioquia",540 m² cubiertos,3,4300000000.0
487,"San Lucas, Medellín, Antioquia",420 m² cubiertos,4,1100000000.0
488,"El Poblado, Medellín, Antioquia",600 m² cubiertos,6,3700000000.0
489,"Belén Miravalle, Medellín, Antioquia",160 m² cubiertos,4,700000000.0
490,"Belén La Mota, Medellín, Antioquia",140 m² cubiertos,4,715000000.0
491,"Poblado San Lucas, Medellín, Antioquia",231 m² cubiertos,4,1350000000.0
492,"Belén La Palma, Medellín, Antioquia",183 m² cubiertos,4,650000000.0
493,"Calazans, Medellín, Antioquia",195 m² cubiertos,4,980000000.0
494,"Castropol, Medellín, Antioquia",203 m² cubiertos,3,850000000.0
495,"Robledo, Medellín, Antioquia",131 m² cubiertos,4,500000000.0
496,"El Poblado, Medellín, Antioquia",554 m² cubiertos,5,4450000000.0
497,"Las Palmas, Medellín, Antioquia","3,000 m² cubiertos",3,4000000000.0
498,"Belén Malibú, Medellín, Antioquia",280 m² cubiertos,3,830000000.0
499,"Castropol, El Poblado, Medellín, Antioquia",188 m² cubiertos,4,940000000.0
500,"Toscana, Medellín, Antioquia",216 m² cubiertos,5,495000000.0
501,"Laureles, Medellín, Antioquia",220 m² cubiertos,7,1500000000.0
502,"Belén Las Violetas, Medellín, Antioquia",90 m² cubiertos,3,192000000.0
503,"San Cristóbal, Medellín, Antioquia",173 m² cubiertos,3,800000000.0
504,"79q5+r6, Medellín, San Cristóbal, Medellin, Antioquia, Colombia, San Cristóbal, Medellín, Antioquia",130 m² cubiertos,4,360000000.0
505,"Manrique, Medellín, Antioquia, Colombia, Manrique Oriental, Medellín, Antioquia",47 m² cubiertos,2,85000000.0
506,"San Joaquín, Medellín, Antioquia",128 m² cubiertos,5,420000000.0
507,"Las Palmas, Medellín, Antioquia",900 m² cubiertos,6,7000000000.0
508,"Carrera 75da #2b Sur, Medellín, Antioquia, Colombia, Belén La Mota, Medellín, Antioquia",74 m² cubiertos,4,381000000.0
509,"Poblado Alto De Las Palmas, Medellín, Antioquia",432 m² cubiertos,3,3500000000.0
510,"Robledo, Medellín, Antioquia",110 m² cubiertos,4,380000000.0
511,"El Poblado, Medellín, Antioquia",970 m² cubiertos,7,7200000000.0
