,direccion_casa,tamaño_casa,habitaciones_casa,Precio_Casa
636,"Belén La Palma, Medellín, Antioquia",183 m² cubiertos,4,650000000.0
637,"Calazans, Medellín, Antioquia",195 m² cubiertos,4,980000000.0
638,"Castropol, Medellín, Antioquia",203 m² cubiertos,3,850000000.0
639,"Robledo, Medellín, Antioquia",131 m² cubiertos,4,500000000.0
640,"El Poblado, Medellín, Antioquia",554 m² cubiertos,5,4450000000.0
641,"Las Palmas, Medellín, Antioquia","3,000 m² cubiertos",3,4000000000.0
642,"Belén Malibú, Medellín, Antioquia",280 m² cubiertos,3,830000000.0
643,"Castropol, El Poblado, Medellín, Antioquia",188 m² cubiertos,4,940000000.0
644,"Toscana, Medellín, Antioquia",216 m² cubiertos,5,495000000.0
645,"Laureles, Medellín, Antioquia",220 m² cubiertos,7,1500000000.0
646,"Belén Las Violetas, Medellín, Antioquia",90 m² cubiertos,3,192000000.0
647,"San Cristóbal, Medellín, Antioquia",173 m² cubiertos,3,800000000.0
648,"79q5+r6, Medellín, San Cristóbal, Medellin, Antioquia, Colombia, San Cristóbal, Medellín, Antioquia",130 m² cubiertos,4,360000000.0
649,"Manrique, Medellín, Antioquia, Colombia, Manrique Oriental, Medellín, Antioquia",47 m² cubiertos,2,85000000.0
650,"San Joaquín, Medellín, Antioquia",128 m² cubiertos,5,420000000.0
651,"Las Palmas, Medellín, Antioquia",900 m² cubiertos,6,7000000000.0
652,"Carrera 75da #2b Sur, Medellín, Antioquia, Colombia, Belén La Mota, Medellín, Antioquia",74 m² cubiertos,4,381000000.0
653,"Poblado Alto De Las Palmas, Medellín, Antioquia",432 m² cubiertos,3,3500000000.0
654,"Robledo, Medellín, Antioquia",110 m² cubiertos,4,380000000.0
655,"El Poblado, Medellín, Antioquia",970 m² cubiertos,7,7200000000.0
656,"Buenos Aires, Medellín, Antioquia, Colombia, Buenos Aires, Medellín, Antioquia",64 m² cubiertos,3,230000000.0
657,"El Poblado, Medellín, Antioquia",700 m² cubiertos,4,6500000000.0
658,"Medellín, Antioquia, Colombia, Boston, Medellín, Antioquia",231 m² cubiertos,5,445000000.0
659,"Colombia / Antioquia / La Estrella / La Ferreria, Medellín, Antioquia",77 m² cubiertos,3,230000000.0
660,"El Poblado, Medellín, Antioquia",136 m² cubiertos,3,820000000.0
661,"Cra. 67 #32b36, Medellín, Belén, Medellín, Antioquia, Colombia, Belén, Medellín, Antioquia",179 m² cubiertos,5,650000000.0
662,"Calle 9a Sur #11, Medellín, Antioquia, Colombia, El Tesoro, Medellín, Antioquia",528 m² cubiertos,4,3800000000.0
663,"El Poblado, Medellín, Antioquia",521 m² cubiertos,4,2500000000.0
664,"Las Cometas, Aures I, Medellín, Antioquia, Colombia, Robledo, Medellín, Antioquia",89 m² cubiertos,3,298000000.0
665,"El Poblado, Medellín, Antioquia",390 m² cubiertos,5,1750000000.0
666,"Cl. 42 Sur #65a-70, San Antonio De Prado, Medellín, Antioquia, Colombia, San Antonio De Prado, Medellín, Antioquia",76 m² cubiertos,3,295000000.0
667,"Buenos Aires, Medellín, Antioquia, Colombia, Buenos Aires, Medellín, Antioquia",103 m² cubiertos,3,310000000.0
668,"Boston, Medellín, Antioquia",269 m² cubiertos,5,820000000.0
669,"San Lucas, Medellín, Antioquia",139 m² cubiertos,3,790000000.0
670,"Calasanz, Medellín, Antioquia",120 m² cubiertos,3,590000000.0
671,"El Poblado/ Suroriente, Medellín, Antioquia",250 m² cubiertos,3,899900000.0
672,"San Cristóbal, Medellín, Antioquia",200 m² cubiertos,3,790000000.0
673,"Belén, Medellín, Antioquia",151 m² cubiertos,3,480000000.0
674,"Las Palmas, Medellín, Antioquia",900 m² cubiertos,4,3500000000.0
675,"El Poblado, Medellín, Antioquia",326 m² cubiertos,4,1300000000.0
676,"Las Playas, Medellín, Antioquia",220 m² cubiertos,5,670000000.0
677,"El Poblado, Medellín, Antioquia",360 m² cubiertos,5,1600000000.0
678,"Las Palmas, Medellín, Antioquia",540 m² cubiertos,3,4300000000.0
679,"San Lucas, Medellín, Antioquia",420 m² cubiertos,4,1100000000.0
680,"El Poblado, Medellín, Antioquia",600 m² cubiertos,6,3700000000.0
681,"Belén Miravalle, Medellín, Antioquia",160 m² cubiertos,4,700000000.0
682,"Belén La Mota, Medellín, Antioquia",140 m² cubiertos,4,715000000.0
683,"Poblado San Lucas, Medellín, Antioquia",231 m² cubiertos,4,1350000000.0
684,"Belén La Palma, Medellín, Antioquia",183 m² cubiertos,4,650000000.0
685,"Calazans, Medellín, Antioquia",195 m² cubiertos,4,980000000.0
686,"Castropol, Medellín, Antioquia",203 m² cubiertos,3,850000000.0
687,"Robledo, Medellín, Antioquia",131 m² cubiertos,4,500000000.0
688,"El Poblado, Medellín, Antioquia",554 m² cubiertos,5,4450000000.0
689,"Las Palmas, Medellín, Antioquia","3,000 m² cubiertos",3,4000000000.0
690,"Belén Malibú, Medellín, Antioquia",280 m² cubiertos,3,830000000.0
691,"Castropol, El Poblado, Medellín, Antioquia",188 m² cubiertos,4,940000000.0
692,"Toscana, Medellín, Antioquia",216 m² cubiertos,5,495000000.0
693,"Laureles, Medellín, Antioquia",220 m² cubiertos,7,1500000000.0
694,"Belén Las Violetas, Medellín, Antioquia",90 m² cubiertos,3,192000000.0
695,"San Cristóbal, Medellín, Antioquia",173 m² cubiertos,3,800000000.0
696,"79q5+r6, Medellín, San Cristóbal, Medellin, Antioquia, Colombia, San Cristóbal, Medellín, Antioquia",130 m² cubiertos,4,360000000.0
697,"Manrique, Medellín, Antioquia, Colombia, Manrique Oriental, Medellín, Antioquia",47 m² cubiertos,2,85000000.0
698,"San Joaquín, Medellín, Antioquia",128 m² cubiertos,5,420000000.0
699,"Las Palmas, Medellín, Antioquia",900 m² cubiertos,6,7000000000.0
700,"Carrera 75da #2b Sur, Medellín, Antioquia, Colombia, Belén La Mota, Medellín, Antioquia",74 m² cubiertos,4,381000000.0
701,"Poblado Alto De Las Palmas, Medellín, Antioquia",432 m² cubiertos,3,3500000000.0
702,"Robledo, Medellín, Antioquia",110 m² cubiertos,4,380000000.0
703,"El Poblado, Medellín, Antioquia",970 m² cubiertos,7,7200000000.0
704,"Buenos Aires, Medellín, Antioquia, Colombia, Buenos Aires, Medellín, Antioquia",64 m² cubiertos,3,230000000.0
705,"El Poblado, Medellín, Antioquia",700 m² cubiertos,4,6500000000.0
706,"Medellín, Antioquia, Colombia, Boston, Medellín, Antioquia",231 m² cubiertos,5,445000000.0
707,"Colombia / Antioquia / La Estrella / La Ferreria, Medellín, Antioquia",77 m² cubiertos,3,230000000.0
708,"El Poblado, Medellín, Antioquia",136 m² cubiertos,3,820000000.0
709,"Cra. 67 #32b36, Medellín, Belén, Medellín, Antioquia, Colombia, Belén, Medellín, Antioquia",179 m² cubiertos,5,650000000.0
710,"Calle 9a Sur #11, Medellín, Antioquia, Colombia, El Tesoro, Medellín, Antioquia",528 m² cubiertos,4,3800000000.0
711,"El Poblado, Medellín, Antioquia",521 m² cubiertos,4,2500000000.0
712,"Las Cometas, Aures I, Medellín, Antioquia, Colombia, Robledo, Medellín, Antioquia",89 m² cubiertos,3,298000000.0
713,"El Poblado, Medellín, Antioquia",390 m² cubiertos,5,1750000000.0
714,"Cl. 42 Sur #65a-70, San Antonio De Prado, Medellín, Antioquia, Colombia, San Antonio De Prado, Medellín, Antioquia",76 m² cubiertos,3,295000000.0
715,"Buenos Aires, Medellín, Antioquia, Colombia, Buenos Aires, Medellín, Antioquia",103 m² cubiertos,3,310000000.0
716,"Boston, Medellín, Antioquia",269 m² cubiertos,5,820000000.0
717,"San Lucas, Medellín, Antioquia",139 m² cubiertos,3,790000000.0
718,"Calasanz, Medellín, Antioquia",120 m² cubiertos,3,590000000.0
719,"El Poblado/ Suroriente, Medellín, Antioquia",250 m² cubiertos,3,899900000.0
720,"San Cristóbal, Medellín, Antioquia",200 m² cubiertos,3,790000000.0
721,"Belén, Medellín, Antioquia",151 m² cubiertos,3,480000000.0
722,"Las Palmas, Medellín, Antioquia",900 m² cubiertos,4,3500000000.0
723,"El Poblado, Medellín, Antioquia",326 m² cubiertos,4,1300000000.0
724,"Las Playas, Medellín, Antioquia",220 m² cubiertos,5,670000000.0
725,"El Poblado, Medellín, Antioquia",360 m² cubiertos,5,1600000000.0
726,"Las Palmas, Medellín, Antioquia",540 m² cubiertos,3,4300000000.0
727,"San Lucas, Medellín, Antioquia",420 m² cubiertos,4,1100000000.0
728,"El Poblado, Medellín, Antioquia",600 m² cubiertos,6,3700000000.0
729,"Belén Miravalle, Medellín, Antioquia",160 m² cubiertos,4,700000000.0
730,"Belén La Mota, Medellín, Antioquia",140 m² cubiertos,4,715000000.0
731,"Poblado San Lucas, Medellín, Antioquia",231 m² cubiertos,4,1350000000.0
732,"Belén La Palma, Medellín, Antioquia",183 m² cubiertos,4,650000000.0
733,"Calazans, Medellín, Antioquia",195 m² cubiertos,4,980000000.0
734,"Castropol, Medellín, Antioquia",203 m² cubiertos,3,850000000.0
735,"Robledo, Medellín, Antioquia",131 m² cubiertos,4,500000000.0
736,"El Poblado, Medellín, Antioquia",554 m² cubiertos,5,4450000000.0
737,"Las Palmas, Medellín, Antioquia","3,000 m² cubiertos",3,4000000000.0
738,"Belén Malibú, Medellín, Antioquia",280 m² cubiertos,3,830000000.0
739,"Castropol, El Poblado, Medellín, Antioquia",188 m² cubiertos,4,940000000.0
740,"Toscana, Medellín, Antioquia",216 m² cubiertos,5,495000000.0
741,"Laureles, Medellín, Antioquia",220 m² cubiertos,7,1500000000.0
742,"Belén Las Violetas, Medellín, Antioquia",90 m² cubiertos,3,192000000.0
743,"San Cristóbal, Medellín, Antioquia",173 m² cubiertos,3,800000000.0
744,"79q5+r6, Medellín, San Cristóbal, Medellin, Antioquia, Colombia, San Cristóbal, Medellín, Antioquia",130 m² cubiertos,4,360000000.0
745,"Manrique, Medellín, Antioquia, Colombia, Manrique Oriental, Medellín, Antioquia",47 m² cubiertos,2,85000000.0
746,"San Joaquín, Medellín, Antioquia",128 m² cubiertos,5,420000000.0
747,"Las Palmas, Medellín, Antioquia",900 m² cubiertos,6,7000000000.0
748,"Carrera 75da #2b Sur, Medellín, Antioquia, Colombia, Belén La Mota, Medellín, Antioquia",74 m² cubiertos,4,381000000.0
749,"Poblado Alto De Las Palmas, Medellín, Antioquia",432 m² cubiertos,3,3500000000.0
750,"Robledo, Medellín, Antioquia",110 m² cubiertos,4,380000000.0
751,"El Poblado, Medellín, Antioquia",970 m² cubiertos,7,7200000000.0
752,"Buenos Aires, Medellín, Antioquia, Colombia, Buenos Aires, Medellín, Antioquia",64 m² cubiertos,3,230000000.0
753,"El Poblado, Medellín, Antioquia",700 m² cubiertos,4,6500000000.0
754,"Medellín, Antioquia, Colombia, Boston, Medellín, Antioquia",231 m² cubiertos,5,445000000.0
755,"Colombia / Antioquia / La Estrella / La Ferreria, Medellín, Antioquia",77 m² cubiertos,3,230000000.0
756,"El Poblado, Medellín, Antioquia",136 m² cubiertos,3,820000000.0
757,"Cra. 67 #32b36, Medellín, Belén, Medellín, Antioquia, Colombia, Belén, Medellín, Antioquia",179 m² cubiertos,5,650000000.0
758,"Calle 9a Sur #11, Medellín, Antioquia, Colombia, El Tesoro, Medellín, Antioquia",528 m² cubiertos,4,3800000000.0
759,"El Poblado, Medellín, Antioquia",521 m² cubiertos,4,2500000000.0
760,"Las Cometas, Aures I, Medellín, Antioquia, Colombia, Robledo, Medellín, Antioquia",89 m² cubiertos,3,298000000.0
761,"El Poblado, Medellín, Antioquia",390 m² cubiertos,5,1750000000.0
762,"Cl. 42 Sur #65a-70, San Antonio De Prado, Medellín, Antioquia, Colombia, San Antonio De Prado, Medellín, Antioquia",76 m² cubiertos,3,295000000.0
763,"Buenos Aires, Medellín, Antioquia, Colombia, Buenos Aires, Medellín, Antioquia",103 m² cubiertos,3,310000000.0
764,"Boston, Medellín, Antioquia",269 m² cubiertos,5,820000000.0
765,"San Lucas, Medellín, Antioquia",139 m² cubiertos,3,790000000.0
766,"Calasanz, Medellín, Antioquia",120 m² cubiertos,3,590000000.0
767,"El Poblado/ Suroriente, Medellín, Antioquia",250 m² cubiertos,3,899900000.0
768,"San Cristóbal, Medellín, Antioquia",200 m² cubiertos,3,790000000.0
769,"Belén, Medellín, Antioquia",151 m² cubiertos,3,480000000.0
770,"Las Palmas, Medellín, Antioquia",900 m² cubiertos,4,3500000000.0
771,"El Poblado, Medellín, Antioquia",326 m² cubiertos,4,1300000000.0
772,"Las Playas, Medellín, Antioquia",220 m² cubiertos,5,670000000.0
773,"El Poblado, Medellín, Antioquia",360 m² cubiertos,5,1600000000.0
774,"Las Palmas, Medellín, Antioquia",540 m² cubiertos,3,4300000000.0
775,"San Lucas, Medellín, Antioquia",420 m² cubiertos,4,1100000000.0
776,"El Poblado, Medellín, Antioquia",600 m² cubiertos,6,3700000000.0
777,"Belén Miravalle, Medellín, Antioquia",160 m² cubiertos,4,700000000.0
778,"Belén La Mota, Medellín, Antioquia",140 m² cubiertos,4,715000000.0
779,"Poblado San Lucas, Medellín, Antioquia",231 m² cubiertos,4,1350000000.0
780,"Belén La Palma, Medellín, Antioquia",183 m² cubiertos,4,650000000.0
781,"Calazans, Medellín, Antioquia",195 m² cubiertos,4,980000000.0
782,"Castropol, Medellín, Antioquia",203 m² cubiertos,3,850000000.0
783,"Robledo, Medellín, Antioquia",131 m² cubiertos,4,500000000.0
784,"El Poblado, Medellín, Antioquia",554 m² cubiertos,5,4450000000.0
785,"Las Palmas, Medellín, Antioquia","3,000 m² cubiertos",3,4000000000.0
786,"Belén Malibú, Medellín, Antioquia",280 m² cubiertos,3,830000000.0
787,"Castropol, El Poblado, Medellín, Antioquia",188 m² cubiertos,4,940000000.0
788,"Toscana, Medellín, Antioquia",216 m² cubiertos,5,495000000.0
789,"Laureles, Medellín, Antioquia",220 m² cubiertos,7,1500000000.0
790,"Belén Las Violetas, Medellín, Antioquia",90 m² cubiertos,3,192000000.0
791,"San Cristóbal, Medellín, Antioquia",173 m² cubiertos,3,800000000.0
792,"79q5+r6, Medellín, San Cristóbal, Medellin, Antioquia, Colombia, San Cristóbal, Medellín, Antioquia",130 m² cubiertos,4,360000000.0
793,"Manrique, Medellín, Antioquia, Colombia, Manrique Oriental, Medellín, Antioquia",47 m² cubiertos,2,85000000.0
794,"San Joaquín, Medellín, Antioquia",128 m² cubiertos,5,420000000.0
795,"Las Palmas, Medellín, Antioquia",900 m² cubiertos,6,7000000000.0
796,"Carrera 75da #2b Sur, Medellín, Antioquia, Colombia, Belén La Mota, Medellín, Antioquia",74 m² cubiertos,4,381000000.0
797,"Poblado Alto De Las Palmas, Medellín, Antioquia",432 m² cubiertos,3,3500000000.0
798,"Robledo, Medellín, Antioquia",110 m² cubiertos,4,380000000.0
799,"El Poblado, Medellín, Antioquia",970 m² cubiertos,7,7200000000.0
800,"Buenos Aires, Medellín, Antioquia, Colombia, Buenos Aires, Medellín, Antioquia",64 m² cubiertos,3,230000000.0
801,"El Poblado, Medellín, Antioquia",700 m² cubiertos,4,6500000000.0
802,"Medellín, Antioquia, Colombia, Boston, Medellín, Antioquia",231 m² cubiertos,5,445000000.0
803,"Colombia / Antioquia / La Estrella / La Ferreria, Medellín, Antioquia",77 m² cubiertos,3,230000000.0
804,"El Poblado, Medellín, Antioquia",136 m² cubiertos,3,820000000.0
805,"Cra. 67 #32b36, Medellín, Belén, Medellín, Antioquia, Colombia, Belén, Medellín, Antioquia",179 m² cubiertos,5,650000000.0
806,"Calle 9a Sur #11, Medellín, Antioquia, Colombia, El Tesoro, Medellín, Antioquia",528 m² cubiertos,4,3800000000.0
807,"El Poblado, Medellín, Antioquia",521 m² cubiertos,4,2500000000.0
808,"Las Cometas, Aures I, Medellín, Antioquia, Colombia, Robledo, Medellín, Antioquia",89 m² cubiertos,3,298000000.0
809,"El Poblado, Medellín, Antioquia",390 m² cubiertos,5,1750000000.0
810,"Cl. 42 Sur #65a-70, San Antonio De Prado, Medellín, Antioquia, Colombia, San Antonio De Prado, Medellín, Antioquia",76 m² cubiertos,3,295000000.0
811,"Buenos Aires, Medellín, Antioquia, Colombia, Buenos Aires, Medellín, Antioquia",103 m² cubiertos,3,310000000.0
812,"Boston, Medellín, Antioquia",269 m² cubiertos,5,820000000.0
813,"San Lucas, Medellín, Antioquia",139 m² cubiertos,3,790000000.0
814,"Calasanz, Medellín, Antioquia",120 m² cubiertos,3,590000000.0
815,"El Poblado/ Suroriente, Medellín, Antioquia",250 m² cubiertos,3,899900000.0
816,"San Cristóbal, Medellín, Antioquia",200 m² cubiertos,3,790000000.0
817,"Belén, Medellín, Antioquia",151 m² cubiertos,3,480000000.0
818,"Las Palmas, Medellín, Antioquia",900 m² cubiertos,4,3500000000.0
819,"El Poblado, Medellín, Antioquia",326 m² cubiertos,4,1300000000.0
820,"Las Playas, Medellín, Antioquia",220 m² cubiertos,5,670000000.0
821,"El Poblado, Medellín, Antioquia",360 m² cubiertos,5,1600000000.0
822,"Las Palmas, Medellín, Antioquia",540 m² cubiertos,3,4300000000.0
823,"San Lucas, Medellín, Antioquia",420 m² cubiertos,4,1100000000.0
824,"El Poblado, Medellín, Antioquia",600 m² cubiertos,6,3700000000.0
825,"Belén Miravalle, Medellín, Antioquia",160 m² cubiertos,4,700000000.0
826,"Belén La Mota, Medellín, Antioquia",140 m² cubiertos,4,715000000.0
827,"Poblado San Lucas, Medellín, Antioquia",231 m² cubiertos,4,1350000000.0
828,"Belén La Palma, Medellín, Antioquia",183 m² cubiertos,4,650000000.0
829,"Calazans, Medellín, Antioquia",195 m² cubiertos,4,980000000.0
830,"Castropol, Medellín, Antioquia",203 m² cubiertos,3,850000000.0
831,"Robledo, Medellín, Antioquia",131 m² cubiertos,4,500000000.0
832,"El Poblado, Medellín, Antioquia",554 m² cubiertos,5,4450000000.0
833,"Las Palmas, Medellín, Antioquia","3,000 m² cubiertos",3,4000000000.0
834,"Belén Malibú, Medellín, Antioquia",280 m² cubiertos,3,830000000.0
835,"Castropol, El Poblado, Medellín, Antioquia",188 m² cubiertos,4,940000000.0
836,"Toscana, Medellín, Antioquia",216 m² cubiertos,5,495000000.0
837,"Laureles, Medellín, Antioquia",220 m² cubiertos,7,1500000000.0
838,"Belén Las Violetas, Medellín, Antioquia",90 m² cubiertos,3,192000000.0
839,"San Cristóbal, Medellín, Antioquia",173 m² cubiertos,3,800000000.0
840,"79q5+r6, Medellín, San Cristóbal, Medellin, Antioquia, Colombia, San Cristóbal, Medellín, Antioquia",130 m² cubiertos,4,360000000.0
841,"Manrique, Medellín, Antioquia, Colombia, Manrique Oriental, Medellín, Antioquia",47 m² cubiertos,2,85000000.0
842,"San Joaquín, Medellín, Antioquia",128 m² cubiertos,5,420000000.0
843,"Las Palmas, Medellín, Antioquia",900 m² cubiertos,6,7000000000.0
844,"Carrera 75da #2b Sur, Medellín, Antioquia, Colombia, Belén La Mota, Medellín, Antioquia",74 m² cubiertos,4,381000000.0
845,"Poblado Alto De Las Palmas, Medellín, Antioquia",432 m² cubiertos,3,3500000000.0
846,"Robledo, Medellín, Antioquia",110 m² cubiertos,4,380000000.0
847,"El Poblado, Medellín, Antioquia",970 m² cubiertos,7,7200000000.0
848,"Buenos Aires, Medellín, Antioquia, Colombia, Buenos Aires, Medellín, Antioquia",64 m² cubiertos,3,230000000.0
849,"El Poblado, Medellín, Antioquia",700 m² cubiertos,4,6500000000.0
850,"Medellín, Antioquia, Colombia, Boston, Medellín, Antioquia",231 m² cubiertos,5,445000000.0
851,"Colombia / Antioquia / La Estrella / La Ferreria, Medellín, Antioquia",77 m² cubiertos,3,230000000.0
852,"El Poblado, Medellín, Antioquia",136 m² cubiertos,3,820000000.0
853,"Cra. 67 #32b36, Medellín, Belén, Medellín, Antioquia, Colombia, Belén, Medellín, Antioquia",179 m² cubiertos,5,650000000.0
854,"Calle 9a Sur #11, Medellín, Antioquia, Colombia, El Tesoro, Medellín, Antioquia",528 m² cubiertos,4,3800000000.0
855,"El Poblado, Medellín, Antioquia",521 m² cubiertos,4,2500000000.0
856,"Las Cometas, Aures I, Medellín, Antioquia, Colombia, Robledo, Medellín, Antioquia",89 m² cubiertos,3,298000000.0
857,"El Poblado, Medellín, Antioquia",390 m² cubiertos,5,1750000000.0
858,"Cl. 42 Sur #65a-70, San Antonio De Prado, Medellín, Antioquia, Colombia, San Antonio De Prado, Medellín, Antioquia",76 m² cubiertos,3,295000000.0
859,"Buenos Aires, Medellín, Antioquia, Colombia, Buenos Aires, Medellín, Antioquia",103 m² cubiertos,3,310000000.0
860,"Boston, Medellín, Antioquia",269 m² cubiertos,5,820000000.0
861,"San Lucas, Medellín, Antioquia",139 m² cubiertos,3,790000000.0
862,"Calasanz, Medellín, Antioquia",120 m² cubiertos,3,590000000.0
863,"El Poblado/ Suroriente, Medellín, Antioquia",250 m² cubiertos,3,899900000.0
864,"San Cristóbal, Medellín, Antioquia",200 m² cubiertos,3,790000000.0
865,"Belén, Medellín, Antioquia",151 m² cubiertos,3,480000000.0
866,"Las Palmas, Medellín, Antioquia",900 m² cubiertos,4,3500000000.0
867,"El Poblado, Medellín, Antioquia",326 m² cubiertos,4,1300000000.0
868,"Las Playas, Medellín, Antioquia",220 m² cubiertos,5,670000000.0
869,"El Poblado, Medellín, Antioquia",360 m² cubiertos,5,1600000000.0
870,"Las Palmas, Medellín, Antioquia",540 m² cubiertos,3,4300000000.0
871,"San Lucas, Medellín, Antioquia",420 m² cubiertos,4,1100000000.0
872,"El Poblado, Medellín, Antioquia",600 m² cubiertos,6,3700000000.0
873,"Belén Miravalle, Medellín, Antioquia",160 m² cubiertos,4,700000000.0
874,"Belén La Mota, Medellín, Antioquia",140 m² cubiertos,4,715000000.0
875,"Poblado San Lucas, Medellín, Antioquia",231 m² cubiertos,4,1350000000.0
876,"Belén La Palma, Medellín, Antioquia",183 m² cubiertos,4,650000000.0
877,"Calazans, Medellín, Antioquia",195 m² cubiertos,4,980000000.0
878,"Castropol, Medellín, Antioquia",203 m² cubiertos,3,850000000.0
879,"Robledo, Medellín, Antioquia",131 m² cubiertos,4,500000000.0
880,"El Poblado, Medellín, Antioquia",554 m² cubiertos,5,4450000000.0
881,"Las Palmas, Medellín, Antioquia","3,000 m² cubiertos",3,4000000000.0
882,"Belén Malibú, Medellín, Antioquia",280 m² cubiertos,3,830000000.0
883,"Castropol, El Poblado, Medellín, Antioquia",188 m² cubiertos,4,940000000.0
884,"Toscana, Medellín, Antioquia",216 m² cubiertos,5,495000000.0
885,"Laureles, Medellín, Antioquia",220 m² cubiertos,7,1500000000.0
886,"Belén Las Violetas, Medellín, Antioquia",90 m² cubiertos,3,192000000.0
887,"San Cristóbal, Medellín, Antioquia",173 m² cubiertos,3,800000000.0
888,"79q5+r6, Medellín, San Cristóbal, Medellin, Antioquia, Colombia, San Cristóbal, Medellín, Antioquia",130 m² cubiertos,4,360000000.0
889,"Manrique, Medellín, Antioquia, Colombia, Manrique Oriental, Medellín, Antioquia",47 m² cubiertos,2,85000000.0
890,"San Joaquín, Medellín, Antioquia",128 m² cubiertos,5,420000000.0
891,"Las Palmas, Medellín, Antioquia",900 m² cubiertos,6,7000000000.0
892,"Carrera 75da #2b Sur, Medellín, Antioquia, Colombia, Belén La Mota, Medellín, Antioquia",74 m² cubiertos,4,381000000.0
893,"Poblado Alto De Las Palmas, Medellín, Antioquia",432 m² cubiertos,3,3500000000.0
894,"Robledo, Medellín, Antioquia",110 m² cubiertos,4,380000000.0
895,"El Poblado, Medellín, Antioquia",970 m² cubiertos,7,7200000000.0
896,"Buenos Aires, Medellín, Antioquia, Colombia, Buenos Aires, Medellín, Antioquia",64 m² cubiertos,3,230000000.0
897,"El Poblado, Medellín, Antioquia",700 m² cubiertos,4,6500000000.0
898,"Medellín, Antioquia, Colombia, Boston, Medellín, Antioquia",231 m² cubiertos,5,445000000.0
899,"Colombia / Antioquia / La Estrella / La Ferreria, Medellín, Antioquia",77 m² cubiertos,3,230000000.0
900,"El Poblado, Medellín, Antioquia",136 m² cubiertos,3,820000000.0
901,"Cra. 67 #32b36, Medellín, Belén, Medellín, Antioquia, Colombia, Belén, Medellín, Antioquia",179 m² cubiertos,5,650000000.0
902,"Calle 9a Sur #11, Medellín, Antioquia, Colombia, El Tesoro, Medellín, Antioquia",528 m² cubiertos,4,3800000000.0
903,"El Poblado, Medellín, Antioquia",521 m² cubiertos,4,2500000000.0
904,"Las Cometas, Aures I, Medellín, Antioquia, Colombia, Robledo, Medellín, Antioquia",89 m² cubiertos,3,298000000.0
905,"El Poblado, Medellín, Antioquia",390 m² cubiertos,5,1750000000.0
906,"Cl. 42 Sur #65a-70, San Antonio De Prado, Medellín, Antioquia, Colombia, San Antonio De Prado, Medellín, Antioquia",76 m² cubiertos,3,295000000.0
907,"Buenos Aires, Medellín, Antioquia, Colombia, Buenos Aires, Medellín, Antioquia",103 m² cubiertos,3,310000000.0
908,"Boston, Medellín, Antioquia",269 m² cubiertos,5,820000000.0
909,"San Lucas, Medellín, Antioquia",139 m² cubiertos,3,790000000.0
910,"Calasanz, Medellín, Antioquia",120 m² cubiertos,3,590000000.0
911,"El Poblado/ Suroriente, Medellín, Antioquia",250 m² cubiertos,3,899900000.0
912,"San Cristóbal, Medellín, Antioquia",200 m² cubiertos,3,790000000.0
913,"Belén, Medellín, Antioquia",151 m² cubiertos,3,480000000.0
914,"Las Palmas, Medellín, Antioquia",900 m² cubiertos,4,3500000000.0
915,"El Poblado, Medellín, Antioquia",326 m² cubiertos,4,1300000000.0
916,"Las Playas, Medellín, Antioquia",220 m² cubiertos,5,670000000.0
917,"El Poblado, Medellín, Antioquia",360 m² cubiertos,5,1600000000.0
918,"Las Palmas, Medellín, Antioquia",540 m² cubiertos,3,4300000000.0
919,"San Lucas, Medellín, Antioquia",420 m² cubiertos,4,1100000000.0
920,"El Poblado, Medellín, Antioquia",600 m² cubiertos,6,3700000000.0
921,"Belén Miravalle, Medellín, Antioquia",160 m² cubiertos,4,700000000.0
922,"Belén La Mota, Medellín, Antioquia",140 m² cubiertos,4,715000000.0
923,"Poblado San Lucas, Medellín, Antioquia",231 m² cubiertos,4,1350000000.0
924,"Belén La Palma, Medellín, Antioquia",183 m² cubiertos,4,650000000.0
925,"Calazans, Medellín, Antioquia",195 m² cubiertos,4,980000000.0
926,"Castropol, Medellín, Antioquia",203 m² cubiertos,3,850000000.0
927,"Robledo, Medellín, Antioquia",131 m² cubiertos,4,500000000.0
928,"El Poblado, Medellín, Antioquia",554 m² cubiertos,5,4450000000.0
929,"Las Palmas, Medellín, Antioquia","3,000 m² cubiertos",3,4000000000.0
930,"Belén Malibú, Medellín, Antioquia",280 m² cubiertos,3,830000000.0
931,"Castropol, El Poblado, Medellín, Antioquia",188 m² cubiertos,4,940000000.0
932,"Toscana, Medellín, Antioquia",216 m² cubiertos,5,495000000.0
933,"Laureles, Medellín, Antioquia",220 m² cubiertos,7,1500000000.0
934,"Belén Las Violetas, Medellín, Antioquia",90 m² cubiertos,3,192000000.0
935,"San Cristóbal, Medellín, Antioquia",173 m² cubiertos,3,800000000.0
936,"79q5+r6, Medellín, San Cristóbal, Medellin, Antioquia, Colombia, San Cristóbal, Medellín, Antioquia",130 m² cubiertos,4,360000000.0
937,"Manrique, Medellín, Antioquia, Colombia, Manrique Oriental, Medellín, Antioquia",47 m² cubiertos,2,85000000.0
938,"San Joaquín, Medellín, Antioquia",128 m² cubiertos,5,420000000.0
939,"Las Palmas, Medellín, Antioquia",900 m² cubiertos,6,7000000000.0
940,"Carrera 75da #2b Sur, Medellín, Antioquia, Colombia, Belén La Mota, Medellín, Antioquia",74 m² cubiertos,4,381000000.0
