,Unnamed: 0,imagen_url,Titulo_casa,direccion_casa,tamaño_casa,habitaciones_casa,Precio_Casa,habitaciones_categoricas
585,585,https://http2.mlstatic.com/D_NQ_NP_724157-MCO71236557412_082023-W.jpg,Casa En Venta En Medellín Sector Palmas,"Las Palmas, Medellín, Antioquia",540.0,3,1.4955076139007943,3 habitaciones
586,586,https://http2.mlstatic.com/D_NQ_NP_868683-MCO71236556568_082023-W.jpg,Casa En Venta Medellin Sector Belen La Palma,"Belén La Palma, Medellín, Antioquia",183.0,4,-0.4913037488512067,4 habitaciones
587,587,https://http2.mlstatic.com/D_NQ_NP_868439-MCO71155111315_082023-W.jpg,Venta Casa El Nogal Los Almendros ,"Cra. 80a #72, Laureles - Estadio, Medellín, Antioquia, Colombia, Belén Nogal - Los Almendros, Medellín, Antioquia",103.0,3,-0.5522689194342818,3 habitaciones
588,588,https://http2.mlstatic.com/D_NQ_NP_934474-MCO71257389416_082023-W.jpg,Casa En Venta Poblado Sector Castropol,"Castropol, Medellín, Antioquia",203.0,3,-0.3824373728100012,3 habitaciones
589,589,https://http2.mlstatic.com/D_NQ_NP_736466-MCO71277680371_082023-W.jpg,Casa En Venta En Medellín Sector Robledo,"Robledo, Medellín, Antioquia",131.0,4,-0.5729535308821109,4 habitaciones
590,590,https://http2.mlstatic.com/D_NQ_NP_775557-MCO71299267407_082023-W.jpg,Casa En Venta Medellin Sector Poblado,"El Poblado, Medellín, Antioquia",554.0,5,1.5771573959316985,5 habitaciones
591,591,https://http2.mlstatic.com/D_NQ_NP_600902-MCO71299088443_082023-W.jpg,Casa Duplex En Venta  Medellin Sector Poblado ,"El Poblado, Medellín, Antioquia",360.0,5,0.025811537344519575,5 habitaciones
592,592,https://http2.mlstatic.com/D_NQ_NP_826707-MCO71277672025_082023-W.jpg,Casa En Venta En Medellín Sector Palmas,"Las Palmas, Medellín, Antioquia",3.0,3,1.3322080498389859,3 habitaciones
593,593,https://http2.mlstatic.com/D_NQ_NP_743275-MCO71299254927_082023-W.jpg,Casa En Venta Medellin Sector Toscana,"Toscana, Medellín, Antioquia",216.0,5,-0.575675190283141,5 habitaciones
594,594,https://http2.mlstatic.com/D_NQ_NP_688748-MCO71299709533_082023-W.jpg,Casa En Venta En Medellin Sector Las Playas,"Las Playas, Medellín, Antioquia",220.0,5,-0.48041711124708614,5 habitaciones
595,595,https://http2.mlstatic.com/D_NQ_NP_601104-MCO71277691353_082023-W.jpg,Casa  En Venta Medellin Sector Laureles,"Laureles, Medellín, Antioquia",220.0,7,-0.02862165067608319,6 o más habitaciones
596,596,https://http2.mlstatic.com/D_NQ_NP_644676-MCO71209652082_082023-W.jpg,Venta De Casa 90 Metros Segundo Piso En Belen Las Violetas ,"Belén Las Violetas, Medellín, Antioquia",90.0,3,-0.7406077499855674,3 habitaciones
597,597,https://http2.mlstatic.com/D_NQ_NP_918753-MCO71209643112_082023-W.jpg,Venta De Casa En San Cristobal Medellin 970 Metros,"San Cristóbal, Medellín, Antioquia",173.0,3,-0.4096539668203026,3 habitaciones
598,598,https://http2.mlstatic.com/D_NQ_NP_717727-MCO53442873959_012023-W.jpg,Hermosa Casa Finca En San Cristóbal ,"79q5+r6, Medellín, San Cristóbal, Medellin, Antioquia, Colombia, San Cristóbal, Medellín, Antioquia",130.0,4,-0.6491599941109547,4 habitaciones
599,599,https://http2.mlstatic.com/D_NQ_NP_632880-MCO69287497566_052023-W.jpg,Casa Unifamiliar Robledo Santa Maria Medellin,"Robledo Santa Maria, Medellín, Antioquia",80.0,2,-0.7661913483552507,2 habitaciones
600,600,https://http2.mlstatic.com/D_NQ_NP_999668-MCO54974063612_042023-W.jpg,Casa En Manrique Santa Cecilia Para La Venta,"Manrique, Medellín, Antioquia, Colombia, Manrique Oriental, Medellín, Antioquia",47.0,2,-0.7988512611676124,2 habitaciones
601,601,https://http2.mlstatic.com/D_NQ_NP_981107-MCO52710224549_122022-W.jpg,Casa En San Joaquin,"San Joaquín, Medellín, Antioquia",128.0,5,-0.6165000812985931,5 habitaciones
602,602,https://http2.mlstatic.com/D_NQ_NP_790258-MCO53109887476_122022-W.jpg,Casa En Venta En El Poblado ,"Las Palmas, Medellín, Antioquia",900.0,6,2.965203690457069,6 o más habitaciones
603,603,https://http2.mlstatic.com/D_NQ_NP_725250-MCO49764855394_042022-W.jpg,Venta Excelente Casa 3 Niveles Área 74 Mt Unidad Cerrada Sencilla,"Carrera 75da #2b Sur, Medellín, Antioquia, Colombia, Belén La Mota, Medellín, Antioquia",74.0,4,-0.6377290246266282,4 habitaciones
604,604,https://http2.mlstatic.com/D_NQ_NP_705854-MCO50311243639_062022-W.jpg,"Venta De Espectacular Casa Moderna Y Domotizada, Alto De Las Palmas ","Poblado Alto De Las Palmas, Medellín, Antioquia",432.0,3,1.0600421097359722,3 habitaciones
605,605,https://http2.mlstatic.com/D_NQ_NP_715958-MCO69317138858_052023-W.jpg,Casa Venta Robledo Unidad Cerrada Precio De Oferta,"Robledo, Medellín, Antioquia",110.0,4,-0.6382733565068341,4 habitaciones
606,606,https://http2.mlstatic.com/D_NQ_NP_771973-MCO53713567403_022023-W.jpg,Venta De Casa En El Poblado,"El Poblado, Medellín, Antioquia",970.0,7,3.0740700664982747,6 o más habitaciones
607,607,https://http2.mlstatic.com/D_NQ_NP_795652-MCO69117633099_042023-W.jpg,Casa Para La Venta En El Barrio Buenos Aires,"Buenos Aires, Medellín, Antioquia, Colombia, Buenos Aires, Medellín, Antioquia",64.0,3,-0.7199231385377384,3 habitaciones
608,608,https://http2.mlstatic.com/D_NQ_NP_970398-MCO52940041516_122022-W.jpg,"Casa El Poblado, La Calera, Medellín (pagar Con Crypto)","El Poblado, Medellín, Antioquia",700.0,4,2.6930377503540552,4 habitaciones
609,609,https://http2.mlstatic.com/D_NQ_NP_704074-MCO49412737987_032022-W.jpg,Se Vende Casa Comercial Y Familiar En El Sector De Villa Nueva ,"Medellín, Antioquia, Colombia, Boston, Medellín, Antioquia",231.0,5,-0.6028917842934424,5 habitaciones
610,610,https://http2.mlstatic.com/D_NQ_NP_807026-MCO53611023434_022023-W.jpg,Casa Venta La Estrella La Ferreria,"Colombia / Antioquia / La Estrella / La Ferreria, Medellín, Antioquia",77.0,3,-0.7199231385377384,3 habitaciones
611,611,https://http2.mlstatic.com/D_NQ_NP_602712-MCO69313758140_052023-W.jpg,Venta De Casa Campestre En Sector Tesoro Poblado,"El Poblado, Medellín, Antioquia",136.0,3,-0.398767329216182,3 habitaciones
612,612,https://http2.mlstatic.com/D_NQ_NP_838291-MCO69876278831_062023-W.jpg,Venta Casa Belén Malibú Medellín Primer Piso,"Cra. 67 #32b36, Medellín, Belén, Medellín, Antioquia, Colombia, Belén, Medellín, Antioquia",179.0,5,-0.4913037488512067,5 habitaciones
613,613,https://http2.mlstatic.com/D_NQ_NP_749174-MCO50928700645_072022-W.jpg,"Venta De Casa Remodelada En El Poblado, El Tesoro","Calle 9a Sur #11, Medellín, Antioquia, Colombia, El Tesoro, Medellín, Antioquia",528.0,4,1.2233416737977805,4 habitaciones
614,614,https://http2.mlstatic.com/D_NQ_NP_896927-MCO53912423887_022023-W.jpg,Vendo Casa Medellin Poblado (también Recibo Criptomonedas),"El Poblado, Medellín, Antioquia",521.0,4,0.5157102295299445,4 habitaciones
615,615,https://http2.mlstatic.com/D_NQ_NP_868263-MCO70045978708_062023-W.jpg,Venta De Casa En Medellín Barrio Robledo Urb. Las Cometas,"Las Cometas, Aures I, Medellín, Antioquia, Colombia, Robledo, Medellín, Antioquia",89.0,3,-0.6829085706837285,3 habitaciones
616,616,https://http2.mlstatic.com/D_NQ_NP_834168-MCO53146965492_012023-W.jpg,Vendo Casa Medellin Poblado (también Recibo Criptomonedas),"El Poblado, Medellín, Antioquia",390.0,5,0.10746131937542372,5 habitaciones
617,617,https://http2.mlstatic.com/D_NQ_NP_881959-MCO69359674552_052023-W.jpg,Venta De Casa En Medellín - Corregimiento San Antonio De Prado,"Cl. 42 Sur #65a-70, San Antonio De Prado, Medellín, Antioquia, Colombia, San Antonio De Prado, Medellín, Antioquia",76.0,3,-0.6845415663243465,3 habitaciones
